4
118 304
0.077769 0.073725 0.21682 0.238595 0.096123 0.098922 0.1011 0.102655 0.102033 0.110432 0.104211 0.108566 0.104211 0.108877 0.10701 0.109499 0.110432 0.11261 0.1112095 0.600688 1.300298 0.626507 0.448572 0.389778 2.785065 0.292412 0.078391 0.0955 0.091145 0.105455 0.0941005 0.098611 0.103588 0.099544 0.091767 0.090212 0.092079 0.084302 0.094567 0.097678 0.085235 0.538162 0.077458 0.077147 0.076525 0.076836 0.083057 0.076214 0.075592 0.074036 0.074658 0.077458 0.074658 0.079324 0.075436 0.074036 0.074658 0.554338 0.080569 0.07217 0.0738805 0.071859 0.073103 0.071548 0.078702 0.06937 0.072792 0.071548 0.071859 0.076836 0.071548 0.071548 0.071859 0.539095 0.072792 0.07217 0.070614 0.070614 0.078391 0.071548 0.070925 0.070925 0.071548 0.077147 0.070614 0.071236 0.070303 0.069681 0.069992 0.430529 1.030906 0.382313 0.6468825 0.4334845 0.723563 0.517942 0.372669 0.905232 2.226372 0.710498 0.361471 0.376713 0.079324 0.474702 0.073103 0.226463 0.4039325 0.407199 0.133452 0.148383 0.105455 0.083679 0.074658 0.100167 0.093634 0.097989 0.087101 0.068126 
1 2 0.031729
2 1 0.049771
2 3 0.053504
3 2 0.170468
3 4 0.163935
4 3 0.070924
4 5 0
5 4 0.115408
4 6 0
6 4 0.093333
4 7 0
7 4 0.100477
4 8 0
8 4 0.0903655
4 9 0
9 4 0.106076
4 10 0
10 4 0.083989
4 11 0
11 4 0.099854
4 12 0
12 4 0.083679
4 13 0
13 4 0.101409
4 14 0
14 4 0.083676
4 15 0
15 4 0.105453
4 16 0
16 4 0.0871
4 17 0
17 4 0.095482
4 18 0
18 4 0.079634
4 19 0
19 4 0.0835225
5 20 0.089589
20 5 0
6 20 0.0983
20 6 0.053817
7 20 0.104521
20 7 0.0480585
8 20 0.091455
20 8 0.056923
9 20 0.106074
20 9 0.059096
10 20 0.085234
20 10 0.061279
11 20 0.096743
20 11 0.038569
12 20 0.083989
20 12 0.050081
13 20 0.102965
20 13 0.057858
14 20 0.0605045
20 14 0.050397
15 20 0.09861
20 15 0.0577015
16 20 0.027377
20 16 0.059428
17 20 0.1000105
20 17 0.069367
18 20 0.090521
20 18 0.017105
19 20 0.0766795
20 19 0
20 21 0.03297
21 20 0.090204
21 22 0.070918
22 21 0.076832
22 23 0.040436
23 22 0.07901
22 24 0
24 22 0.0636135
23 25 0.047903
25 23 0.116326
23 26 0.059101
26 23 0.084921
24 27 0
27 24 0.090524
24 28 0
28 24 0.086168
24 29 0
29 24 0.077768
24 30 0
30 24 0.066257
24 31 0
31 24 0.0825895
24 32 0
32 24 0.079634
24 33 0
33 24 0.076213
24 34 0
34 24 0.080879
24 35 0
35 24 0.098923
24 36 0
36 24 0.088656
24 37 0
37 24 0.080572
24 38 0
38 24 0.065014
24 39 0.029239
39 24 0.083678
24 40 0.002487
40 24 0.079323
24 41 0
41 24 0.092077
25 42 0.07775
42 25 0.074965
26 42 0.084921
42 26 0.087098
27 43 0.0471275
43 27 0.095188
28 44 0.048216
44 28 0.072169
29 45 0.052882
45 29 0.079323
30 46 0.09861
46 30 0.082434
31 47 0.0424615
47 31 0.087412
32 48 0.048216
48 32 0.07559
33 49 0.042928
49 33 0.092388
34 50 0.047905
50 34 0.083679
35 51 0.054438
51 35 0.087101
36 52 0.041995
52 36 0.0844565
37 53 0.051326
53 37 0.084612
38 54 0.043861
54 38 0.079013
39 55 0.0707685
55 39 0.093166
40 56 0.07559
56 40 0.077146
41 57 0.107942
57 41 0.079635
42 58 0.120693
58 42 0.091141
43 59 0.045727
59 43 0.073724
44 60 0.038884
60 44 0.083678
45 61 0.047594
61 45 0.0797905
46 62 0.041683
62 46 0.079323
47 63 0.042306
63 47 0.078701
48 64 0.048527
64 48 0.0816565
49 65 0.056148
65 49 0.077457
50 66 0.097677
66 50 0.0990765
51 67 0.04915
67 51 0.08399
52 68 0.041684
68 52 0.081812
53 69 0.045106
69 53 0.083989
54 70 0.041062
70 54 0.079012
55 71 0.045261
71 55 0.086478
56 72 0.097055
72 56 0.051015
57 73 0.093322
73 57 0.054437
58 74 0.107628
74 58 0.122871
59 75 0.039817
75 59 0.046972
